FID,ID_PRC,ID_LOGRADOURO,TIPO_LOGRADOURO,NOME_LOGRADOURO,GEOMETRIA
PRACA.312856.3647,3647,312856,PRACA,QUATRO MIL SEISCENTOS E QUARENTA E SETE,"MULTIPOLYGON (((600633.932956877 7786508.48976197, 600628.185603403 7786509.51955236, 600616.006491378 7786512.01904359, 600601.543280483 7786514.91845342, 600598.64074329 7786515.19839644, 600595.177488686 7786514.08862233, 600590.477357437 7786512.3589744, 600587.360428294 7786512.14901714, 600583.550848229 7786513.04883398, 600578.644570873 7786520.80725478, 600575.527641729 7786523.22676229, 600570.613118528 7786525.29634104, 600564.939977653 7786526.68605816, 600553.041224334 7786528.62566336, 600551.721889246 7786528.20574883, 600549.990261944 7786525.16636749, 600549.907803501 7786521.66707976, 600556.553954004 7786519.80745828, 600563.538184122 7786517.91784291, 600569.722567344 7786516.42814613, 600578.08385346 7786514.19859995, 600577.399448384 7786512.07903138, 600578.116836838 7786511.85907615, 600582.701526266 7786510.82928576, 600589.059072218 7786509.76950148, 600588.98485962 7786509.02965207, 600598.739693422 7786508.21981691, 600598.912856152 7786506.96007333, 600606.523770437 7786505.19043353, 600613.747130041 7786503.70073676, 600617.235122178 7786503.01087718, 600625.101657636 7786506.32020357, 600633.166093358 7786507.74991256, 600633.932956877 7786508.48976197)), ((600592.505835134 7786519.09760277, 600592.49758929 7786519.35754986, 600592.456360068 7786519.60749898, 600592.423376691 7786519.86744607, 600592.365655781 7786520.10739723, 600592.307934871 7786520.34734839, 600592.200738895 7786520.58729955, 600592.101788764 7786520.81725274, 600591.986346943 7786521.03720797, 600591.84616759 7786521.2571632, 600591.714234082 7786521.4571225, 600591.55756304 7786521.6570818, 600591.367908621 7786521.83704517, 600591.194745891 7786522.0270065, 600590.988599784 7786522.1969719, 600590.790699521 7786522.35693934, 600590.568061725 7786522.49691085, 600590.345423929 7786522.61688643, 600590.0980486 7786522.74685997, 600589.867164959 7786522.84683962, 600589.636281319 7786522.92682334, 600589.372414302 7786523.00680706, 600589.116793128 7786523.04679892, 600588.844680267 7786523.10678671, 600588.580813249 7786523.13678061, 600588.325192076 7786523.13678061, 600588.069570903 7786523.13678061, 600587.805703885 7786523.12678264, 600587.533591024 7786523.08679078, 600587.286215695 7786523.01680503, 600587.030594522 7786522.97681317, 600586.791465037 7786522.88683148, 600586.535843864 7786522.7968498, 600586.296714379 7786522.68687218, 600586.057584895 7786522.55689864, 600585.851438787 7786522.4269251, 600585.628800991 7786522.28695359, 600585.430900728 7786522.11698818, 600585.241246309 7786521.93702481, 600585.051591891 7786521.75706145, 600584.894920849 7786521.55710215, 600584.738249807 7786521.35714285, 600584.598070454 7786521.13718762, 600584.47438279 7786520.91723239, 600584.35894097 7786520.6872792, 600584.268236682 7786520.457326, 600584.18577824 7786520.22737281, 600584.128057329 7786519.97742369, 600584.078582264 7786519.73747253, 600584.037353042 7786519.47752544, 600584.029107198 7786519.23757428, 600584.029107198 7786518.97762719, 600584.037353042 7786518.73767603, 600584.078582264 7786518.47772894, 600584.128057329 7786518.23777779, 600584.18577824 7786517.98782866, 600584.268236682 7786517.75787547, 600584.35894097 7786517.52792227, 600584.47438279 7786517.29796908, 600584.598070454 7786517.07801385, 600584.738249807 7786516.85805862, 600584.894920849 7786516.65809932, 600585.051591891 7786516.45814003, 600585.241246309 7786516.27817666, 600585.430900728 7786516.09821329, 600585.628800991 7786515.92824788, 600585.851438787 7786515.78827637, 600586.057584895 7786515.65830283, 600586.296714379 7786515.52832928, 600586.535843864 7786515.41835167, 600586.791465037 7786515.32836999, 600587.030594522 7786515.2383883, 600587.286215695 7786515.19839644, 600587.533591024 7786515.12841069, 600587.805703885 7786515.08841883, 600588.069570903 7786515.07842086, 600588.325192076 7786515.07842086, 600588.580813249 7786515.07842086, 600588.844680267 7786515.10841476, 600589.116793128 7786515.16840255, 600589.372414302 7786515.20839441, 600589.636281319 7786515.28837813, 600589.867164959 7786515.36836185, 600590.0980486 7786515.4683415, 600590.345423929 7786515.59831504, 600590.568061725 7786515.71829062, 600590.790699521 7786515.85826213, 600590.988599784 7786516.01822957, 600591.194745891 7786516.18819497, 600591.367908621 7786516.37815631, 600591.55756304 7786516.55811967, 600591.714234082 7786516.75807897, 600591.84616759 7786516.95803827, 600591.986346943 7786517.1779935, 600592.101788764 7786517.39794873, 600592.200738895 7786517.62790192, 600592.307934871 7786517.86785308, 600592.365655781 7786518.10780424, 600592.423376691 7786518.3477554, 600592.456360068 7786518.60770249, 600592.49758929 7786518.85765161, 600592.505835134 7786519.09760277)))"
PRACA.313105.3811,3811,313105,PRACA,SEM NOME,"POLYGON ((605046.086339388 7807225.97277835, 605051.487367401 7807221.01378774, 605053.227240548 7807218.48430261, 605053.697253673 7807216.49470759, 605046.828465374 7807211.22578006, 605053.829187181 7807204.14722088, 605055.95661501 7807201.58774186, 605058.512826742 7807195.11905854, 605059.939357805 7807190.07008624, 605057.737717378 7807179.76218439, 605053.161273793 7807182.06171632, 605043.258014794 7807152.89765259, 605048.007621108 7807150.15821019, 605052.38616443 7807157.46672256, 605055.13203058 7807160.91602047, 605074.435552077 7807193.84931699, 605077.651431353 7807200.39798403, 605079.679909049 7807208.72628883, 605079.811842558 7807215.98481138, 605077.676168885 7807217.67446745, 605076.101212625 7807217.27454886, 605075.466282614 7807217.92441657, 605074.724156627 7807218.64427005, 605073.916063886 7807219.37412149, 605073.033758547 7807220.05398311, 605072.11846983 7807220.63386507, 605071.161951892 7807220.83382437, 605046.086339388 7807225.97277835))"
PRACA.312490.3510,3510,312490,PRACA,QUATRO MIL E SEISCENTOS,"POLYGON ((613104.659265552 7796896.9652179, 613104.906640881 7796894.19578161, 613105.912633885 7796888.98684188, 613107.355656637 7796884.5877373, 613109.746951482 7796879.43878536, 613113.828644409 7796872.85012646, 613118.034025 7796866.69138005, 613122.330109878 7796858.0931302, 613128.935031159 7796882.79810158, 613124.564733682 7796884.2178126, 613125.570726686 7796888.60691921, 613104.659265552 7796896.9652179))"
PRACA.313183.3847,3847,313183,PRACA,VILA PONTA PORA,"POLYGON ((613118.347367083 7796983.74755361, 613124.457537706 7796966.71102135, 613128.506247256 7796984.96730533, 613118.347367083 7796983.74755361))"
PRACA.127971.3468,3468,127971,PRACA,DOS ABACATEIROS,"POLYGON ((609901.148756567 7808067.24154054, 609866.318310261 7808081.72859174, 609850.296634794 7808088.09729541, 609848.754661911 7808087.17748263, 609850.80787714 7808082.65840248, 609853.067238478 7808077.20951158, 609854.510261229 7808073.51026456, 609855.846088005 7808070.530871, 609857.585961152 7808061.49271069, 609857.280864913 7808050.19501031, 609856.456280483 7808045.82589963, 609855.120453707 7808041.30681947, 609854.304115122 7808038.88731196, 609852.193178982 7808033.64837833, 609852.094228851 7808032.94852078, 609852.811617304 7808033.3984292, 609857.074718805 7808038.78733231, 609866.68112741 7808050.44495943, 609871.513192168 7808055.58391341, 609874.646613 7808057.84345349, 609879.165335674 7808060.98281448, 609885.531127471 7808063.65227112, 609890.46214236 7808065.09197807, 609893.447137995 7808065.70185393, 609897.454618323 7808066.53168503, 609901.148756567 7808067.24154054))"
PRACA.28391.3694,3694,28391,PRACA,FLAMENGO,"POLYGON ((615980.430447149 7798386.31206567, 615978.063889835 7798405.54815022, 615977.36299307 7798410.24719374, 615975.351007062 7798422.38472318, 615975.153106799 7798422.61467638, 615974.773797961 7798422.71465603, 615955.833093614 7798418.66548022, 615956.088714787 7798415.06621284, 615963.056453217 7798412.56672161, 615968.144139147 7798409.57733009, 615973.322529365 7798403.36859386, 615976.818767347 7798397.68974977, 615980.430447149 7798386.31206567))"
PRACA.28391.3695,3695,28391,PRACA,FLAMENGO,"POLYGON ((615998.051816409 7798417.16578548, 615996.542826903 7798427.92359576, 615983.588605514 7798424.62426733, 615988.750504043 7798405.03825401, 615993.046588921 7798390.02131066, 615992.543592419 7798399.60935904, 615994.209252967 7798406.62793043, 615996.979856651 7798414.9362393, 615998.051816409 7798417.16578548))"
PRACA.38931.3747,3747,38931,PRACA,COMENDADOR MANOEL SENDAS,"MULTIPOLYGON (((607983.371519432 7800127.59763204, 607979.050697021 7800134.78616883, 607963.663951565 7800146.9436942, 607957.199209637 7800153.71231647, 607951.064301481 7800161.47073727, 607949.786195615 7800163.61030176, 607946.463120363 7800165.23997005, 607943.362682908 7800166.20977265, 607938.489388929 7800164.71007791, 607934.828234062 7800162.98042997, 607933.014148317 7800161.21079018, 607932.115351288 7800159.04123178, 607932.032892845 7800120.92898942, 607933.310998711 7800116.49989095, 607937.582346057 7800112.89062561, 607942.158789641 7800110.71106925, 607944.434642667 7800110.56109978, 607956.7456882 7800112.23075992, 607968.751637495 7800114.06038751, 607973.765110827 7800115.73004765, 607979.537201835 7800118.61945952, 607982.274822141 7800120.89899553, 607983.181865013 7800124.38828529, 607983.371519432 7800127.59763204)), ((608046.427490764 7800132.6266084, 608045.405006071 7800134.47623192, 608043.351790841 7800134.87615052, 608035.204896677 7800131.34686889, 608028.913317479 7800129.55723317, 608020.213951747 7800128.67741225, 608014.936611397 7800128.18751197, 608006.426900084 7800128.48745092, 608000.069354132 7800128.88736952, 607993.340745186 7800130.49704187, 607987.428474826 7800132.86655956, 607989.869244737 7800128.64741836, 607992.301768805 7800123.32850101, 607994.882718069 7800115.88001712, 607997.463667334 7800109.65128497, 608001.413426752 7800108.44153121, 608006.583571125 7800107.22177948, 608010.838426782 7800107.52171843, 608016.156996353 7800109.0414091, 608022.234183599 7800112.08079045, 608028.154699804 7800116.78983194, 608031.576725186 7800119.43929264, 608040.614170535 7800128.84737766, 608046.427490764 7800132.6266084)), ((608016.30542155 7800101.60292319, 608007.490613998 7800100.68311041, 608001.265001554 7800101.29298627, 608004.604568494 7800094.00446983, 608008.405902715 7800084.73635633, 608012.50408733 7800094.91428464, 608016.30542155 7800101.60292319)))"
PRACA.313188.3867,3867,313188,PRACA,QUATRO MIL SETECENTOS E SETENTA E CINCO,"POLYGON ((604281.498672888 7793663.31341835, 604277.20258801 7793654.66517867, 604285.05263178 7793650.08611073, 604288.334477809 7793655.82494261, 604281.498672888 7793663.31341835))"
PRACA.313103.3787,3787,313103,PRACA,QUATRO MIL SETECENTOS E TRINTA E CINCO,"POLYGON ((601164.017057444 7787586.61031365, 601185.349056637 7787589.10980489, 601185.472744302 7787589.07981099, 601185.728365475 7787589.07981099, 601185.967494959 7787589.11980285, 601186.091182624 7787589.15979471, 601186.412770551 7787589.33975808, 601186.594179126 7787589.50972349, 601186.668391725 7787589.60970314, 601186.792079389 7787589.82965836, 601186.833308611 7787589.94963394, 601186.882783676 7787590.1895851, 601186.882783676 7787590.43953423, 601186.42926224 7787591.59929816, 601185.992232492 7787592.8990336, 601185.621169499 7787594.2687548, 601185.357302481 7787595.61848007, 601185.250106506 7787596.85822772, 601185.744857163 7787597.38811986, 601186.388033018 7787597.73804863, 601187.113667317 7787597.95800386, 601182.265110871 7787600.04757854, 601174.992276202 7787602.69703925, 601169.162464284 7787597.83802828, 601164.066532509 7787587.81006945, 601164.017057444 7787586.61031365))"
